timestamp,goal_id,iteration_id,event,cumulative_tokens,prompt_tokens_total,prompt_uncached_tokens,cache_read_tokens,cache_write_tokens,output_tokens,cache_hit_rate,model,pricing_snapshot,estimated_cost,telemetry_source,status
2026-08-08T16:01:33Z,6a76acf2a50b6afe00c97e8c,slice1.7-to-2.0-final,FINAL_AUDIT_COMPLETE,26788605,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,update_goal,PARTIAL_TELEMETRY
2026-08-09T04:14:18Z,6a776ac708c10ded9ddb2a7c,consultation-profile-vertical-resume-20260809,RALPH_RESUME_START,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,get_goal,PARTIAL_TELEMETRY
2026-08-09T05:01:57Z,6a776ac708c10ded9ddb2a7c,consultation-profile-vertical-round12-20260809,CONSULTATION_VERTICAL_COMPLETE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,get_goal,PARTIAL_TELEMETRY
2026-08-09T07:28:44Z,6a776ac708c10ded9ddb2a7c,image-vertical-round13-20260809,IMAGE_VERTICAL_COMPLETE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,get_goal_calibrated_unavailable,UNAVAILABLE_TELEMETRY
2026-08-09T09:14:41Z,6a776ac708c10ded9ddb2a7c,feedback-vertical-round14-20260809,FEEDBACK_VERTICAL_COMPLETE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,get_goal_calibrated_unavailable,UNAVAILABLE_TELEMETRY
2026-08-09T10:08:01Z,6a776ac708c10ded9ddb2a7c,final-phase2-audit-20260809,FINAL_AUDIT_FINDINGS_CLEARED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,get_goal_calibrated_unavailable,UNAVAILABLE_TELEMETRY
2026-08-09T10:12:02Z,6a776ac708c10ded9ddb2a7c,final-phase2-audit-20260809,GOAL_BLOCKED_EXTERNAL_DATA,92864099,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,update_goal,PARTIAL_TELEMETRY
2026-08-09T14:03:29Z,6a776ac708c10ded9ddb2a7c,phase2-complete-20260809,PHASE2_COMPLETE,92864099,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,get_goal,PARTIAL_TELEMETRY
2026-08-09T14:17:43Z,6a776ac708c10ded9ddb2a7c,phase2-complete-final-20260809,PHASE2_COMPLETE_FINAL,261601897,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,update_goal,PARTIAL_TELEMETRY
2026-08-09T15:22:30Z,6a776ac708c10ded9ddb2a7c,phase2-task11-complete-20260809,TASK11_STABLE_SOURCE_ID_COMPLETE,261601897,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,get_goal,PARTIAL_TELEMETRY
