asset_id,category,source_path,target_or_status,sha256,source_git_state,night_action,runtime_policy
canonical_products,data,data/canonical/core_products_v1.jsonl,data/canonical/core_products_v1.jsonl,0ba95df8c38d39f5bc0d73a32c318b157903abb64778c3e7b0acebfb75e95734,untracked_in_fresh,commit_exact,runtime_source
canonical_manifest,data,data/canonical/core_products_v1_manifest.json,data/canonical/core_products_v1_manifest.json,e0430a244af451a3fa73642295c4a79128e1622dfeed19ff8140eda9f2df0c69,untracked_in_fresh,commit_exact,runtime_integrity
review_decisions,data,data/canonical/shadow_review_v1/review_decisions.jsonl,data/canonical/shadow_review_v1/review_decisions.jsonl,12b0e1f82df3509ad8886af68a04ddcc62b28f3d3a5c72f4496ea22708fe50e9,untracked_in_fresh,commit_exact,runtime_source
review_manifest,data,.tmp_user_download_audit/shadow_review_v1/review_decisions_manifest.json,data/canonical/shadow_review_v1/review_decisions_manifest.json,999be8b3238176ed57cab47d2fa7db30ed76a2840908bc9c2d52c06a3ec7f633,untracked_in_old,copy_exact,runtime_integrity
seed_dump,data,data/seed_dump.sql,reference_only,ae45bbb513868619e578f63f252fff549ad62289aba0d474e2ae65aa754bc386,tracked_in_fresh,verify_only,not_runtime_schema
seed_images,data,app/static/images/products,tracked_103_files,08f761a16d41db4d04355245ec107bc456154ac8bf60939a0268e4ced8fa45e7,tracked_in_fresh,build_source_manifest,runtime_image_source
knowledge_docs,knowledge,data/knowledge_docs,quarantine,9a4eaacd6a88f996c52db8c68f1df4e713f4fdcc8a856d6798b1cf02f555101a,tracked_in_fresh,verify_only,not_production_rag
frontend_chat,product_ui,app/static/chat.html,preserve_baseline,3064d7753fcfbc33be5d300c70ad395542b066c76bfd574162a4c4955d250bec,modified_in_old,record_only,protected_asset
chat_api,transport,app/api/v1/chat.py,rebase_contract,a07e7433b3b676ffff375aebd46466d9a79205c9c0d4168ee721c9333bdb530c,modified_in_old,record_only,no_direct_copy
ranking_kernel,pure_kernel,app/services/deterministic_ranking.py,preserve_later,4737c18964f2be3502f036a87dd50e06965a214a87aa967c586d08e7c741f59f,untracked_in_old,record_only,decision_owned
shadow_evidence,offline_tool,app/services/v2/shadow_evidence,preserve_later,0553057800cc79b1c06453b26da901856d6daccad43c401ba87d384c9e31b6fa,untracked_in_old,record_only,never_runtime_import
session_runtime,infrastructure,app/services/session_runtime.py,extract_later,399a299553524e53a566d1bea7be4c159f70458e96e4f213e75378cd0a8afdc1,untracked_in_old,record_only,extract_cache_and_lock
ocr_service,adapter,app/services/ocr.py,extract_parser_later,48dfbc4aacb4cb61dcad72424dba60e409b80a429409e7799d087039dbe0032c,modified_in_old,record_only,no_direct_copy
guide_scaffold,obsolete_scaffold,app/guide/check_boundaries.py,quarantine,05538019abe0314499b8e8e06925af71b7d6fd3557bcdd556c093a6654071aba,untracked_in_fresh,do_not_commit,encodes_old_architecture
