timestamp,goal_id,stage,event,cumulative_tokens,stage_delta,head,status
2026-08-08T04:23:53Z,6a76acf2a50b6afe00c97e8c,GOAL,GOAL_START,0,0,51e1fbbab07a31216aa76345037a1fea166c348d,RECORDED
2026-08-08T04:23:53Z,6a76acf2a50b6afe00c97e8c,SLICE_1_7,SLICE_1_7_START,0,0,bcf7aad4a1d46796d1dcf0f349ee15eee0b47fd5,RECORDED
2026-08-08T05:47:51Z,6a76acf2a50b6afe00c97e8c,SLICE_1_7,SLICE_1_7_COMPLETE,0,0,d6ae62f0b0413ce3ea499f3bb0f221520ab43c1d,RECORDED
2026-08-08T05:47:51Z,6a76acf2a50b6afe00c97e8c,SLICE_1_8,SLICE_1_8_START,0,0,d6ae62f0b0413ce3ea499f3bb0f221520ab43c1d,RECORDED
2026-08-08T06:26:33Z,6a76acf2a50b6afe00c97e8c,SLICE_1_8,SLICE_1_8_DECISION_GATE,0,0,eadf588806709314513280523c58298776b52f79,WAITING_FOR_USER_DECISION
2026-08-08T06:47:59Z,6a76acf2a50b6afe00c97e8c,SLICE_1_8,SLICE_1_8_COMPLETE_OR_CONFIRMED_NO_GO,0,0,27c02b0ea93158bc0b866cdff53f7bc4def31ae1,CONFIRMED_NO_GO
2026-08-08T06:47:59Z,6a76acf2a50b6afe00c97e8c,SLICE_1_9,SLICE_1_9_START,0,0,27c02b0ea93158bc0b866cdff53f7bc4def31ae1,RECORDED
2026-08-08T09:42:32Z,6a76acf2a50b6afe00c97e8c,SLICE_1_9,SLICE_1_9_COMPLETE,0,0,6b327da043d3434b2243d653c8d5ddc71f9f86c8,RECORDED
2026-08-08T09:42:32Z,6a76acf2a50b6afe00c97e8c,SLICE_2_0,SLICE_2_0_MODEL_GATE,0,0,6b327da043d3434b2243d653c8d5ddc71f9f86c8,WAITING_FOR_USER_DECISION
2026-08-08T10:45:11Z,6a76acf2a50b6afe00c97e8c,SLICE_2_0,SLICE_2_0_START,0,0,050e9ac619e730995586ae9f74daa9028c15a0c1,APPROVED
2026-08-08T15:57:55Z,6a76acf2a50b6afe00c97e8c,SLICE_2_0,SLICE_2_0_COMPLETE,26788605,26788605,fef6d874331af0237078d97343a36749105386f9,COMPLETE
2026-08-08T16:01:33Z,6a76acf2a50b6afe00c97e8c,FINAL_AUDIT,FINAL_AUDIT_COMPLETE,26788605,0,e6070c5ee2f56537aa2b5a375f0c542b54deaf1f,COMPLETE
